Symbol,ISIN,Trade Date,Exchange,Segment,Series,Trade Type,Auction,Quantity,Price,Trade ID,Order ID,Order Execution Time
GOLDBEES,INF204KB17I5,45936,NSE,EQ,EQ,buy,FALSE,19,98.59,200051320,1100000000269893,6/10/2025
JUNIORBEES,INF732E01045,45936,NSE,EQ,EQ,buy,FALSE,4,736.70,200051322,1100000000269898,6/10/2025
SILVERETF,INF789F1AYK6,45936,NSE,EQ,EQ,buy,FALSE,20,144.95,600051414,1300000000353381,6/10/2025
MOM30IETF,INF109KC17C7,45936,NSE,EQ,EQ,buy,FALSE,100,31.19,400037457,1200000000213367,6/10/2025
NIFTYBEES,INF204KB14I2,45936,NSE,EQ,EQ,buy,FALSE,6,281.75,400037942,1200000000214924,6/10/2025
MID150BEES,INF204KB1V68,45936,NSE,EQ,EQ,buy,FALSE,9,221.99,400037951,1200000000214971,6/10/2025
AUTOIETF,INF109KC10V2,45936,NSE,EQ,EQ,buy,FALSE,60,27.87,32272,1000000000227855,6/10/2025
HDFCSML250,INF179KC1FB2,45936,NSE,EQ,EQ,buy,FALSE,12,172.82,200051768,1100000000271471,6/10/2025
CONSUMBEES,INF204KA1LD7,45936,NSE,EQ,EQ,buy,FALSE,10,136.31,32278,1000000000227857,6/10/2025
HDFCMOMENT,INF179KC1HV6,45936,NSE,EQ,EQ,buy,FALSE,60,30.73,200056864,1100000000283338,6/10/2025
UTINEXT50,INF789F1AUW9,45936,NSE,EQ,EQ,buy,FALSE,20,73.88,600056841,1300000000364482,6/10/2025
MID150BEES,INF204KB1V68,45943,NSE,EQ,EQ,buy,FALSE,9,222.69,402499647,1200000026243385,13/10/2025
CONSUMBEES,INF204KA1LD7,45943,NSE,EQ,EQ,buy,FALSE,10,136.11,2291212,1000000024548030,13/10/2025
UTINEXT50,INF789F1AUW9,45943,NSE,EQ,EQ,buy,FALSE,20,73.33,603583960,1300000029814302,13/10/2025
GOLDBEES,INF204KB17I5,45943,NSE,EQ,EQ,buy,FALSE,19,102.49,203199716,1100000029217023,13/10/2025
NIFTYBEES,INF204KB14I2,45943,NSE,EQ,EQ,buy,FALSE,6,284.26,402499648,1200000026243386,13/10/2025
MOM30IETF,INF109KC17C7,45943,NSE,EQ,EQ,buy,FALSE,50,31.64,402499649,1200000026243388,13/10/2025
JUNIORBEES,INF732E01045,45943,NSE,EQ,EQ,buy,FALSE,4,733.37,203199718,1100000029217051,13/10/2025
HDFCSML250,INF179KC1FB2,45943,NSE,EQ,EQ,buy,FALSE,12,171.12,203199726,1100000029217127,13/10/2025
SILVERETF,INF789F1AYK6,45943,NSE,EQ,EQ,buy,FALSE,14,166.12,603584026,1300000029815042,13/10/2025
MOM30IETF,INF109KC17C7,45943,NSE,EQ,EQ,buy,FALSE,50,31.64,402499749,1200000026244241,13/10/2025
SILVERETF,INF789F1AYK6,45943,NSE,EQ,EQ,buy,FALSE,6,166.11,603584025,1300000029815042,13/10/2025
AUTOIETF,INF109KC10V2,45943,NSE,EQ,EQ,buy,FALSE,60,27.45,2291259,1000000024549039,13/10/2025
HDFCMOMENT,INF179KC1HV6,45943,NSE,EQ,EQ,buy,FALSE,60,31.31,203199821,1100000029217997,13/10/2025
UTINEXT50,INF789F1AUW9,45958,NSE,EQ,EQ,buy,FALSE,20,74.48,604691751,1300000042727259,28/10/2025
AUTOIETF,INF109KC10V2,45958,NSE,EQ,EQ,buy,FALSE,60,27.94,3731433,1000000039038826,28/10/2025
MID150BEES,INF204KB1V68,45958,NSE,EQ,EQ,buy,FALSE,9,227.28,403828558,1200000043888542,28/10/2025
NIFTYBEES,INF204KB14I2,45958,NSE,EQ,EQ,buy,FALSE,6,292.61,403828556,1200000043888530,28/10/2025
HDFCSML250,INF179KC1FB2,45958,NSE,EQ,EQ,buy,FALSE,12,174.58,205294505,1100000047217377,28/10/2025
GOLDBEES,INF204KB17I5,45958,NSE,EQ,EQ,buy,FALSE,19,98.27,205294502,1100000047217348,28/10/2025
CONSUMBEES,INF204KA1LD7,45958,NSE,EQ,EQ,buy,FALSE,10,139.36,3731401,1000000039038575,28/10/2025
SILVERETF,INF789F1AYK6,45958,NSE,EQ,EQ,buy,FALSE,20,136.73,604691784,1300000042727532,28/10/2025
MOM30IETF,INF109KC17C7,45958,NSE,EQ,EQ,buy,FALSE,50,32.24,403828559,1200000043888556,28/10/2025
